Entity,Code,Year,emissions_total_per_capita
India,IND,1942,0.14350855
India,IND,1943,0.1259863
India,IND,1944,0.129791
India,IND,1945,0.14495872
India,IND,1946,0.14425123
India,IND,1947,0.14798945
India,IND,1948,0.14916411
India,IND,1949,0.15787567
India,IND,1950,0.17599274
India,IND,1951,0.18030834
India,IND,1952,0.18583614
India,IND,1953,0.18537368
India,IND,1954,0.19094001
India,IND,1955,0.20297568
India,IND,1956,0.20559466
India,IND,1957,0.22551806
India,IND,1958,0.23041473
India,IND,1959,0.23823537
India,IND,1960,0.25532722
India,IND,1961,0.26961234
India,IND,1962,0.2899293
India,IND,1963,0.30426666
India,IND,1964,0.29105714
India,IND,1965,0.31357706
India,IND,1966,0.31827164
India,IND,1967,0.31187475
India,IND,1968,0.33301112
India,IND,1969,0.33230522
India,IND,1970,0.33291033
India,IND,1971,0.34396365
India,IND,1972,0.35590428
India,IND,1973,0.35836908
India,IND,1974,0.3615395
India,IND,1975,0.38312787
India,IND,1976,0.39106047
India,IND,1977,0.40412238
India,IND,1978,0.40130946
India,IND,1979,0.41165555
India,IND,1980,0.424402
India,IND,1981,0.44759268
India,IND,1982,0.45172426
India,IND,1983,0.47764838
India,IND,1984,0.4789781
India,IND,1985,0.51459557
India,IND,1986,0.5391722
India,IND,1987,0.562909
India,IND,1988,0.59431225
India,IND,1989,0.63905036
India,IND,1990,0.668214
India,IND,1991,0.69619745
India,IND,1992,0.72586346
India,IND,1993,0.7344633
India,IND,1994,0.7586807
India,IND,1995,0.7919185
India,IND,1996,0.8406862
India,IND,1997,0.8587196
India,IND,1998,0.8597363
India,IND,1999,0.92580426
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
United Kingdom,GBR,1920,10.318364
United Kingdom,GBR,1921,7.1308627
United Kingdom,GBR,1922,9.444493
United Kingdom,GBR,1923,10.033588
United Kingdom,GBR,1924,10.532615
United Kingdom,GBR,1925,9.965467
United Kingdom,GBR,1926,5.655135
United Kingdom,GBR,1927,10.448244
United Kingdom,GBR,1928,9.884894
United Kingdom,GBR,1929,10.408271
United Kingdom,GBR,1930,10.021771
United Kingdom,GBR,1931,9.352548
United Kingdom,GBR,1932,8.96392
United Kingdom,GBR,1933,8.869657
United Kingdom,GBR,1934,9.531863
United Kingdom,GBR,1935,9.610427
United Kingdom,GBR,1936,10.09914
United Kingdom,GBR,1937,10.368437
United Kingdom,GBR,1938,9.919003
United Kingdom,GBR,1939,9.903666
United Kingdom,GBR,1940,10.3948345
United Kingdom,GBR,1941,10.344048
United Kingdom,GBR,1942,10.161616
United Kingdom,GBR,1943,10.065381
United Kingdom,GBR,1944,10.015328
United Kingdom,GBR,1945,9.231059
United Kingdom,GBR,1946,9.4255495
United Kingdom,GBR,1947,9.810102
United Kingdom,GBR,1948,10.14036
United Kingdom,GBR,1949,10.181252
United Kingdom,GBR,1950,9.9604435
United Kingdom,GBR,1951,10.800899
United Kingdom,GBR,1952,10.444595
United Kingdom,GBR,1953,10.62748
United Kingdom,GBR,1954,10.8330145
United Kingdom,GBR,1955,11.257455
United Kingdom,GBR,1956,11.162249
United Kingdom,GBR,1957,11.039372
United Kingdom,GBR,1958,10.705431
United Kingdom,GBR,1959,10.461445
United Kingdom,GBR,1960,11.113797
United Kingdom,GBR,1961,11.129407
United Kingdom,GBR,1962,11.129884
United Kingdom,GBR,1963,11.246019
United Kingdom,GBR,1964,11.254874
United Kingdom,GBR,1965,11.444563
United Kingdom,GBR,1966,11.30431
United Kingdom,GBR,1967,10.769963
United Kingdom,GBR,1968,10.979154
United Kingdom,GBR,1969,11.331282
United Kingdom,GBR,1970,11.723682
United Kingdom,GBR,1971,11.815909
United Kingdom,GBR,1972,11.555677
United Kingdom,GBR,1973,11.738719
United Kingdom,GBR,1974,10.977184
United Kingdom,GBR,1975,10.730219
United Kingdom,GBR,1976,10.649842
United Kingdom,GBR,1977,10.758524
United Kingdom,GBR,1978,10.764969
United Kingdom,GBR,1979,11.464309
United Kingdom,GBR,1980,10.288156
United Kingdom,GBR,1981,9.955621
United Kingdom,GBR,1982,9.738896
United Kingdom,GBR,1983,9.683191
United Kingdom,GBR,1984,9.372629
United Kingdom,GBR,1985,9.886416
United Kingdom,GBR,1986,10.018491
United Kingdom,GBR,1987,10.049029
United Kingdom,GBR,1988,10.000239
United Kingdom,GBR,1989,10.170335
United Kingdom,GBR,1990,10.4927225
United Kingdom,GBR,1991,10.588317
United Kingdom,GBR,1992,10.288521
United Kingdom,GBR,1993,10.017321
United Kingdom,GBR,1994,9.896297
United Kingdom,GBR,1995,9.735405
United Kingdom,GBR,1996,10.0647545
United Kingdom,GBR,1997,9.62765
United Kingdom,GBR,1998,9.697672
United Kingdom,GBR,1999,9.545588
United Kingdom,GBR,2000,9.635275
United Kingdom,GBR,2001,9.748509
United Kingdom,GBR,2002,9.40991
United Kingdom,GBR,2003,9.555585
United Kingdom,GBR,2004,9.530167
United Kingdom,GBR,2005,9.412128
United Kingdom,GBR,2006,9.301154
United Kingdom,GBR,2007,9.09334
United Kingdom,GBR,2008,8.785364
United Kingdom,GBR,2009,7.9049363
United Kingdom,GBR,2010,8.124634
United Kingdom,GBR,2011,7.3959785
United Kingdom,GBR,2012,7.62153
United Kingdom,GBR,2013,7.4175463
United Kingdom,GBR,2014,6.764833
United Kingdom,GBR,2015,6.461413
United Kingdom,GBR,2016,6.061766
United Kingdom,GBR,2017,5.8378453
United Kingdom,GBR,2018,5.6886244
United Kingdom,GBR,2019,5.4350777
United Kingdom,GBR,2020,4.84416
United Kingdom,GBR,2021,5.059431
United Kingdom,GBR,2022,4.563232
United Kingdom,GBR,2023,4.481841
United Kingdom,GBR,2024,4.5257993
United States,USA,1920,16.816145
United States,USA,1921,13.589925
United States,USA,1922,13.520765
United States,USA,1923,17.591671
United States,USA,1924,15.544684
United States,USA,1925,15.735723
United States,USA,1926,16.812035
United States,USA,1927,16.192951
United States,USA,1928,15.685378
United States,USA,1929,16.603048
United States,USA,1930,14.58597
United States,USA,1931,12.289558
United States,USA,1932,10.321664
United States,USA,1933,10.991698
United States,USA,1934,11.621933
United States,USA,1935,11.991493
United States,USA,1936,13.672
United States,USA,1937,14.204154
United States,USA,1938,11.926593
United States,USA,1939,13.037762
United States,USA,1940,14.487894
United States,USA,1941,15.615902
United States,USA,1942,16.58958
United States,USA,1943,16.911407
United States,USA,1944,17.948437
United States,USA,1945,17.084375
United States,USA,1946,16.121332
United States,USA,1947,17.508738
United States,USA,1948,17.940481
United States,USA,1949,14.822593
United States,USA,1950,16.48146
United States,USA,1951,16.734932
United States,USA,1952,16.066175
United States,USA,1953,16.212685
United States,USA,1954,15.213387
United States,USA,1955,16.417015
United States,USA,1956,16.940548
United States,USA,1957,16.535189
United States,USA,1958,15.768463
United States,USA,1959,15.986317
United States,USA,1960,16.07164
United States,USA,1961,15.733118
United States,USA,1962,16.033794
United States,USA,1963,16.47033
United States,USA,1964,16.929342
United States,USA,1965,17.37528
United States,USA,1966,18.013317
United States,USA,1967,18.462694
United States,USA,1968,18.919777
United States,USA,1969,19.654922
United States,USA,1970,20.884413
United States,USA,1971,20.74589
United States,USA,1972,21.485521
United States,USA,1973,22.2213
United States,USA,1974,21.229671
United States,USA,1975,20.145435
United States,USA,1976,20.895985
United States,USA,1977,21.273462
United States,USA,1978,21.727701
United States,USA,1979,21.569876
United States,USA,1980,20.578814
United States,USA,1981,19.567621
United States,USA,1982,18.381195
United States,USA,1983,18.340216
United States,USA,1984,18.714457
United States,USA,1985,18.599737
United States,USA,1986,18.438473
United States,USA,1987,19.06039
United States,USA,1988,19.717833
United States,USA,1989,19.78752
United States,USA,1990,20.253748
United States,USA,1991,19.793287
United States,USA,1992,19.948572
United States,USA,1993,20.102255
United States,USA,1994,20.197258
United States,USA,1995,20.230127
United States,USA,1996,20.678873
United States,USA,1997,20.745182
United States,USA,1998,20.774931
United States,USA,1999,20.805534
United States,USA,2000,21.39786
United States,USA,2001,20.766743
United States,USA,2002,20.718021
United States,USA,2003,20.718428
United States,USA,2004,20.873743
United States,USA,2005,20.71883
United States,USA,2006,20.236742
United States,USA,2007,20.28047
United States,USA,2008,19.409172
United States,USA,2009,17.81067
United States,USA,2010,18.22542
United States,USA,2011,17.634142
United States,USA,2012,16.812391
United States,USA,2013,17.09857
United States,USA,2014,17.118917
United States,USA,2015,16.461393
United States,USA,2016,15.934658
United States,USA,2017,15.639208
United States,USA,2018,16.000992
United States,USA,2019,15.500492
United States,USA,2020,13.8168955
United States,USA,2021,14.758024
United States,USA,2022,14.802047
United States,USA,2023,14.31945
United States,USA,2024,14.197287
World,OWID_WRL,1920,1.8712187
World,OWID_WRL,1921,1.6301049
World,OWID_WRL,1922,1.6940141
World,OWID_WRL,1923,1.9046209
World,OWID_WRL,1924,1.8945516
World,OWID_WRL,1925,1.8901367
World,OWID_WRL,1926,1.8416375
World,OWID_WRL,1927,1.9916863
World,OWID_WRL,1928,1.9655659
World,OWID_WRL,1929,2.0896432
World,OWID_WRL,1930,1.910474
World,OWID_WRL,1931,1.6917068
World,OWID_WRL,1932,1.5107735
World,OWID_WRL,1933,1.575086
World,OWID_WRL,1934,1.6951171
World,OWID_WRL,1935,1.7602078
World,OWID_WRL,1936,1.9111634
World,OWID_WRL,1937,2.0212395
World,OWID_WRL,1938,1.8813955
World,OWID_WRL,1939,1.9686357
World,OWID_WRL,1940,2.1311977
World,OWID_WRL,1941,2.1621437
World,OWID_WRL,1942,2.1373806
World,OWID_WRL,1943,2.1605964
World,OWID_WRL,1944,2.1810997
World,OWID_WRL,1945,1.798701
World,OWID_WRL,1946,1.9183873
World,OWID_WRL,1947,2.1332428
World,OWID_WRL,1948,2.2310042
World,OWID_WRL,1949,2.1086688
World,OWID_WRL,1950,2.3787344
World,OWID_WRL,1951,2.5155044
World,OWID_WRL,1952,2.502896
World,OWID_WRL,1953,2.52497
World,OWID_WRL,1954,2.5279224
World,OWID_WRL,1955,2.7166138
World,OWID_WRL,1956,2.8354607
World,OWID_WRL,1957,2.869636
World,OWID_WRL,1958,2.8913758
World,OWID_WRL,1959,2.9855902
World,OWID_WRL,1960,3.1129305
World,OWID_WRL,1961,3.0719054
World,OWID_WRL,1962,3.1207407
World,OWID_WRL,1963,3.2155952
World,OWID_WRL,1964,3.3158252
World,OWID_WRL,1965,3.3919592
World,OWID_WRL,1966,3.4848654
World,OWID_WRL,1967,3.5231547
World,OWID_WRL,1968,3.6402233
World,OWID_WRL,1969,3.8021357
World,OWID_WRL,1970,4.0325885
World,OWID_WRL,1971,4.1125965
World,OWID_WRL,1972,4.219747
World,OWID_WRL,1973,4.3555555
World,OWID_WRL,1974,4.253289
World,OWID_WRL,1975,4.173319
World,OWID_WRL,1976,4.3101907
World,OWID_WRL,1977,4.3524494
World,OWID_WRL,1978,4.4325047
World,OWID_WRL,1979,4.4657006
World,OWID_WRL,1980,4.364099
World,OWID_WRL,1981,4.168842
World,OWID_WRL,1982,4.060496
World,OWID_WRL,1983,4.0239425
World,OWID_WRL,1984,4.068702
World,OWID_WRL,1985,4.1374197
World,OWID_WRL,1986,4.122175
World,OWID_WRL,1987,4.1796536
World,OWID_WRL,1988,4.262697
World,OWID_WRL,1989,4.241189
World,OWID_WRL,1990,4.266701
World,OWID_WRL,1991,4.282473
World,OWID_WRL,1992,4.090168
World,OWID_WRL,1993,4.06862
World,OWID_WRL,1994,4.047994
World,OWID_WRL,1995,4.0835447
World,OWID_WRL,1996,4.1481075
World,OWID_WRL,1997,4.1149697
World,OWID_WRL,1998,4.044522
World,OWID_WRL,1999,4.0791173
World,OWID_WRL,2000,4.133621
World,OWID_WRL,2001,4.1076345
World,OWID_WRL,2002,4.1442804
World,OWID_WRL,2003,4.30703
World,OWID_WRL,2004,4.3992558
World,OWID_WRL,2005,4.493561
World,OWID_WRL,2006,4.585831
World,OWID_WRL,2007,4.661509
World,OWID_WRL,2008,4.682571
World,OWID_WRL,2009,4.545518
World,OWID_WRL,2010,4.744936
World,OWID_WRL,2011,4.848876
World,OWID_WRL,2012,4.854014
World,OWID_WRL,2013,4.837743
World,OWID_WRL,2014,4.8045974
World,OWID_WRL,2015,4.7391157
World,OWID_WRL,2016,4.6824865
World,OWID_WRL,2017,4.705259
World,OWID_WRL,2018,4.752195
World,OWID_WRL,2019,4.7478137
World,OWID_WRL,2020,4.4577436
World,OWID_WRL,2021,4.634748
World,OWID_WRL,2022,4.6784525
World,OWID_WRL,2023,4.707772
World,OWID_WRL,2024,4.729075
